edad,genero,estrato,discapacidad,es_barranquilla,es_colombia,departamento,ciudad,pais,programa,semestre_actual,tipo_estudiante,tipo_admision,estado_academico,promedio,materias_cursadas,materias_perdidas,materias_repetidas,icfes_total,icfes_matematicas,icfes_lectura,icfes_ciencias,icfes_sociales,icfes_ingles,tipo_colegio,calendario_colegio,becado,graduado,perdidas_Dpto._Derecho,perdidas_Dpto._Lenguas_Extranjeras,perdidas_Dpto._Español,perdidas_Dpto._de_Economía,perdidas_Dpto._Humanidades_y_Filosofía,perdidas_Dpto._Psicología,perdidas_Dpto._Química_y_Biología,perdidas_Dpto._Salud_Pública,perdidas_Dpto._Ing._Civil_y_Ambiental,perdidas_Dpto._Odontología,perdidas_Dpto._Cs_Politica_y_Rel_Intern,perdidas_Dpto._Historia_y_Cs._Sociales,perdidas_Dpto._Ingeniería_de_Sistemas,perdidas_Dpto._Ingeniería_Mecánica,perdidas_Dpto._Finanzas_y_Contaduría,perdidas_Dpto._Diseño,perdidas_Dpto._Educación,perdidas_Dpto._Arquitectura_y_Urbanismo,perdidas_Dpto._Ingeniería_Industrial,perdidas_Dpto._Matematicas_y_estadístic,perdidas_Dpto._Emprendim_y_Management,perdidas_Dpto._Comunicación_Social,perdidas_Dpto._Música,perdidas_Dpto._Física,perdidas_Dpto.Ing_Eléctrica-Electrónica,perdidas_Dpto._Enfermería,perdidas_Dpto._Mercadeo_y_Neg._Internac,perdidas_Dpto._Medicina,desertor
19,1,6,0,1,1,8,18,5,27,1.0,1,3,1,4.21,14,7,0,317.0,65.0,65.0,54.0,62.0,87.0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,5,0,0,1,8,157,5,24,2.0,1,3,1,3.96,14,7,0,273.0,49.0,59.0,53.0,51.0,74.0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
18,1,5,0,0,1,8,157,5,22,1.0,1,3,1,4.67,8,4,0,350.0,71.0,70.0,68.0,67.0,83.0,1,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,3,0,1,1,8,18,5,19,2.0,1,3,1,4.64,13,6,0,378.0,77.0,73.0,74.0,70.0,100.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,0,5,0,1,1,8,18,5,27,1.0,1,3,1,3.83,14,8,0,332.0,54.0,76.0,58.0,72.0,82.0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,3,0,1,1,8,18,5,6,1.0,1,3,5,3.69,13,8,1,243.0,45.0,57.0,51.0,38.0,59.0,1,0,1,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,4,0,1,1,8,18,5,26,1.0,1,3,5,4.07,11,5,0,272.0,42.0,57.0,59.0,54.0,72.0,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,4,0,1,1,8,18,5,26,1.0,1,3,5,4.68,12,6,0,362.0,75.0,76.0,65.0,72.0,77.0,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,4,0,1,1,8,18,5,16,1.0,1,3,5,3.8,10,7,1,333.0,66.0,65.0,69.0,61.0,83.0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
18,0,5,0,1,1,8,18,5,4,1.0,1,3,1,4.13,12,6,0,238.0,35.0,49.0,49.0,54.0,57.0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
21,1,2,0,0,1,1,121,5,13,3.0,3,6,2,3.75,11,11,3,265.0,56.0,56.0,53.0,48.0,51.0,1,0,1,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
19,1,3,0,0,1,59,201,5,17,2.0,1,6,5,3.7,11,6,2,350.0,78.0,69.0,70.0,63.0,70.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
19,0,4,0,1,1,8,18,5,4,1.0,1,3,1,4.14,14,7,0,244.0,46.0,54.0,49.0,41.0,64.0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
18,1,3,0,0,1,23,226,5,1,0.0,0,1,5,3.67,12,6,0,251.0,59.0,50.0,48.0,41.0,59.0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
22,0,2,0,0,1,59,201,5,5,0.0,1,3,5,3.85,12,6,0,254.0,55.0,56.0,52.0,43.0,43.0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,0,2,0,0,1,27,105,5,22,0.0,2,3,0,3.65,6,2,0,257.0,39.0,62.0,52.0,54.0,46.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1,4,0,0,1,59,201,5,1,1.0,1,3,5,4.12,12,6,0,272.0,59.0,53.0,51.0,48.0,73.0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
18,0,2,0,1,1,8,18,5,10,1.0,1,3,1,3.68,13,7,0,280.0,62.0,54.0,60.0,52.0,43.0,1,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,1,1,9,0,1,8,205,5,12,0.0,2,3,0,3.87,6,0,0,311.0,64.0,69.0,53.0,65.0,55.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,2,0,0,1,59,201,5,24,1.0,1,3,1,4.66,14,7,0,374.0,81.0,74.0,73.0,71.0,75.0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
18,1,6,0,1,1,8,18,5,1,1.0,1,3,5,3.69,12,5,0,317.0,68.0,60.0,65.0,60.0,64.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
18,1,6,0,0,1,8,157,5,0,0.0,2,3,0,3.65,6,0,0,366.0,73.0,77.0,73.0,67.0,82.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,6,0,0,1,8,157,5,4,1.0,1,3,1,4.57,13,6,0,405.0,79.0,79.0,80.0,80.0,100.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
18,1,5,0,0,1,8,157,5,0,0.0,1,3,1,2.37,12,10,0,314.0,65.0,65.0,62.0,59.0,63.0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1
17,0,4,0,0,1,8,157,5,4,1.0,1,3,1,4.29,14,7,0,313.0,61.0,67.0,54.0,63.0,80.0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
18,0,4,0,0,1,8,157,5,0,0.0,1,3,1,4.08,12,6,0,311.0,67.0,63.0,61.0,55.0,71.0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,0,4,0,0,1,8,157,5,4,1.0,1,3,1,4.73,12,6,0,360.0,67.0,67.0,73.0,72.0,100.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
18,0,3,0,1,1,8,18,5,19,2.0,1,3,1,4.45,12,6,0,385.0,83.0,73.0,76.0,75.0,81.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1,3,0,1,1,8,18,5,5,0.0,1,3,1,4.43,12,6,0,362.0,82.0,66.0,72.0,70.0,71.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,0,4,0,1,1,8,18,5,10,1.0,1,3,1,3.76,11,6,0,312.0,53.0,65.0,66.0,59.0,81.0,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,0,4,0,0,1,23,226,5,0,0.0,1,3,5,4.08,12,7,1,297.0,65.0,52.0,57.0,59.0,72.0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,1,4,0,0,1,23,226,5,16,0.0,2,3,0,3.98,6,1,0,342.0,70.0,70.0,67.0,62.0,83.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,0,2,0,0,1,23,73,5,25,1.0,1,3,1,3.3,11,11,2,210.0,39.0,49.0,42.0,38.0,41.0,2,0,1,0,0,2,1,0,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,5,0,1,1,8,18,5,24,1.0,1,3,5,4.04,14,9,1,295.0,52.0,66.0,45.0,66.0,79.0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,1
17,0,1,0,0,1,8,169,5,3,1.0,1,3,5,4.25,12,7,2,314.0,66.0,65.0,59.0,59.0,70.0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
18,0,4,0,1,1,8,18,5,20,1.0,1,3,1,4.33,14,7,0,339.0,69.0,70.0,65.0,64.0,77.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
18,1,4,0,1,1,8,18,5,14,0.0,1,3,5,3.6,12,6,0,286.0,54.0,48.0,69.0,56.0,63.0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
17,1,4,0,1,1,8,18,5,17,1.0,1,3,5,4.38,12,6,0,373.0,77.0,72.0,78.0,71.0,77.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
19,0,1,0,1,1,8,18,5,10,1.0,1,3,1,3.37,13,9,0,268.0,52.0,59.0,52.0,55.0,44.0,2,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
20,1,3,9,0,1,8,157,5,27,1.0,1,3,1,4.66,14,7,0,362.0,72.0,74.0,68.0,73.0,79.0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,4,0,0,1,8,157,5,26,2.0,1,6,5,2.6,10,9,1,319.0,67.0,59.0,61.0,61.0,85.0,1,1,1,0,0,0,2,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,4,0,1,1,8,18,5,6,1.0,1,3,5,3.71,13,7,1,317.0,47.0,66.0,63.0,72.0,79.0,1,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,6,0,0,1,23,226,5,13,0.0,3,3,2,3.22,10,9,3,308.0,61.0,62.0,61.0,64.0,56.0,1,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
18,1,2,0,1,1,8,18,5,24,1.0,1,3,1,4.54,14,7,0,356.0,63.0,76.0,69.0,76.0,74.0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
17,0,3,4,0,1,12,39,5,27,1.0,1,3,1,3.65,14,8,1,277.0,54.0,59.0,53.0,52.0,67.0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,2,0,0,1,59,201,5,22,1.0,1,3,5,3.78,11,6,0,335.0,73.0,63.0,64.0,67.0,70.0,1,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1,3,0,0,1,59,201,5,0,0.0,1,3,5,2.62,12,11,1,311.0,71.0,51.0,67.0,60.0,62.0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1
