desertor,edad,genero,estrato,discapacidad,es_barranquilla,es_colombia,departamento,ciudad,pais,programa,semestre_actual,tipo_estudiante,tipo_admision,estado_academico,promedio,materias_cursadas,materias_perdidas,materias_repetidas,icfes_total,icfes_matematicas,icfes_lectura,icfes_ciencias,icfes_sociales,icfes_ingles,tipo_colegio,calendario_colegio,becado,graduado,perdidas_Dpto._Derecho,perdidas_Dpto._Lenguas_Extranjeras,perdidas_Dpto._Español,perdidas_Dpto._de_Economía,perdidas_Dpto._Humanidades_y_Filosofía,perdidas_Dpto._Psicología,perdidas_Dpto._Química_y_Biología,perdidas_Dpto._Salud_Pública,perdidas_Dpto._Ing._Civil_y_Ambiental,perdidas_Dpto._Odontología,perdidas_Dpto._Cs_Politica_y_Rel_Intern,perdidas_Dpto._Historia_y_Cs._Sociales,perdidas_Dpto._Ingeniería_de_Sistemas,perdidas_Dpto._Ingeniería_Mecánica,perdidas_Dpto._Finanzas_y_Contaduría,perdidas_Dpto._Diseño,perdidas_Dpto._Educación,perdidas_Dpto._Arquitectura_y_Urbanismo,perdidas_Dpto._Ingeniería_Industrial,perdidas_Dpto._Matematicas_y_estadístic,perdidas_Dpto._Emprendim_y_Management,perdidas_Dpto._Comunicación_Social,perdidas_Dpto._Música,perdidas_Dpto._Física,perdidas_Dpto.Ing_Eléctrica-Electrónica,perdidas_Dpto._Enfermería,perdidas_Dpto._Mercadeo_y_Neg._Internac,perdidas_Dpto._Medicina
0,18,M,6,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Administración de Empresas,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.25,12,6,0,419.0,81.0,75.0,78.0,100.0,87.0,PRIVADO,B,Institucional,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,18,M,5,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Ingeniería Electrónica,0.0,Estudiante regular,Ordinaria Pregrado,Normal,4.02,12,7,0,336.0,69.0,67.0,62.0,66.0,81.0,PRIVADO,B,No becado,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
0,18,M,1,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Ingeniería Civil,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.88,10,5,0,441.0,100.0,81.0,74.0,100.0,81.0,PRIVADO,A,Institucional,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,17,F,3,00- Ninguno,0,1,Magdalena,Zapayan,Colombia,Enfermería,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.48,13,7,0,199.0,35.0,42.0,40.0,38.0,52.0,PÚBLICO,A,No becado,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,18,F,5,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Administración de Empresas,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.15,12,6,0,370.0,71.0,73.0,70.0,77.0,88.0,PRIVADO,B,Institucional,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,19,M,6,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Relaciones Internacionales,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.21,14,7,0,317.0,65.0,65.0,54.0,62.0,87.0,PRIVADO,B,No becado,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,F,5,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Negocios Internacionales,2.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,3.96,14,7,0,273.0,49.0,59.0,53.0,51.0,74.0,PRIVADO,B,No becado,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
0,18,M,5,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Medicina,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.67,8,4,0,350.0,71.0,70.0,68.0,67.0,83.0,PRIVADO,B,No becado,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,F,3,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Lenguas Modernas y Cultura,2.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.64,13,6,0,378.0,77.0,73.0,74.0,70.0,100.0,PRIVADO,A,Institucional,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,18,F,5,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Relaciones Internacionales,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,3.83,14,8,0,332.0,54.0,76.0,58.0,72.0,82.0,PRIVADO,A,No becado,0,0,2,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,F,3,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Derecho,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.69,13,8,1,243.0,45.0,57.0,51.0,38.0,59.0,PRIVADO,A,No becado,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,F,4,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Psicología,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.07,11,5,0,272.0,42.0,57.0,59.0,54.0,72.0,PRIVADO,A,No becado,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,F,4,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Psicología,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.68,12,6,0,362.0,75.0,76.0,65.0,72.0,77.0,PRIVADO,A,Institucional,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,F,4,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Ingeniería Industrial,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.8,10,7,1,333.0,66.0,65.0,69.0,61.0,83.0,PRIVADO,A,No becado,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,18,F,5,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Comunicación Social y Period.,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.13,12,6,0,238.0,35.0,49.0,49.0,54.0,57.0,PRIVADO,A,No becado,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,21,M,2,00- Ninguno,0,1,Antioquía,Medellin,Colombia,Ingeniería Civil,3.0,Programa de recuperación,Transferencia Externa,Fuera de programa 1,3.75,11,11,3,265.0,56.0,56.0,53.0,48.0,51.0,PRIVADO,A,No becado,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
0,19,M,3,00- Ninguno,0,1,Sucre,Sincelejo,Colombia,Ingeniería Mecánica,2.0,Estudiante regular,Transferencia Externa,Normal,3.7,11,6,2,350.0,78.0,69.0,70.0,63.0,70.0,PRIVADO,A,No becado,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,19,F,4,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Comunicación Social y Period.,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.14,14,7,0,244.0,46.0,54.0,49.0,41.0,64.0,PRIVADO,A,No becado,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,18,M,3,00- Ninguno,0,1,Cesar,Valledupar,Colombia,Arquitectura,0.0,Cambio Programa,Cambio de Programa,Normal,3.67,12,6,0,251.0,59.0,50.0,48.0,41.0,59.0,PRIVADO,A,No becado,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,22,F,2,00- Ninguno,0,1,Sucre,Sincelejo,Colombia,Contaduría Pública,0.0,Estudiante regular,Ordinaria Pregrado,Normal,3.85,12,6,0,254.0,55.0,56.0,52.0,43.0,43.0,PÚBLICO,A,No becado,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,18,F,2,00- Ninguno,0,1,Cordoba,Lorica,Colombia,Medicina,0.0,Nuevo ingreso,Ordinaria Pregrado,Desconocido,3.65,6,2,0,257.0,39.0,62.0,52.0,54.0,46.0,PRIVADO,A,No becado,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,19,M,4,00- Ninguno,0,1,Sucre,Sincelejo,Colombia,Arquitectura,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.12,12,6,0,272.0,59.0,53.0,51.0,48.0,73.0,PRIVADO,A,No becado,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,18,F,2,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Enfermería,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,3.68,13,7,0,280.0,62.0,54.0,60.0,52.0,43.0,PRIVADO,A,No becado,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,18,M,1,11-Trastorno del Espectro Autista,0,1,Atlántico,Soledad,Colombia,Geología,0.0,Nuevo ingreso,Ordinaria Pregrado,Desconocido,3.87,6,0,0,311.0,64.0,69.0,53.0,65.0,55.0,PRIVADO,A,No becado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,F,2,00- Ninguno,0,1,Sucre,Sincelejo,Colombia,Negocios Internacionales,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.66,14,7,0,374.0,81.0,74.0,73.0,71.0,75.0,PRIVADO,A,Institucional,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,18,M,6,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Arquitectura,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.69,12,5,0,317.0,68.0,60.0,65.0,60.0,64.0,PRIVADO,A,No becado,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,18,M,6,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Administración de Empresas,0.0,Nuevo ingreso,Ordinaria Pregrado,Desconocido,3.65,6,0,0,366.0,73.0,77.0,73.0,67.0,82.0,PRIVADO,A,No becado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,M,6,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Comunicación Social y Period.,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.57,13,6,0,405.0,79.0,79.0,80.0,80.0,100.0,PRIVADO,A,Institucional,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1,18,M,5,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Administración de Empresas,0.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,2.37,12,10,0,314.0,65.0,65.0,62.0,59.0,63.0,PRIVADO,A,No becado,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
0,17,F,4,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Comunicación Social y Period.,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.29,14,7,0,313.0,61.0,67.0,54.0,63.0,80.0,PRIVADO,A,No becado,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,18,F,4,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Administración de Empresas,0.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.08,12,6,0,311.0,67.0,63.0,61.0,55.0,71.0,PRIVADO,A,No becado,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,18,F,4,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Comunicación Social y Period.,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.73,12,6,0,360.0,67.0,67.0,73.0,72.0,100.0,PRIVADO,A,Institucional,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,18,F,3,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Lenguas Modernas y Cultura,2.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.45,12,6,0,385.0,83.0,73.0,76.0,75.0,81.0,PRIVADO,A,Institucional,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,18,M,3,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Contaduría Pública,0.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.43,12,6,0,362.0,82.0,66.0,72.0,70.0,71.0,PRIVADO,A,Institucional,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,18,F,4,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Enfermería,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,3.76,11,6,0,312.0,53.0,65.0,66.0,59.0,81.0,PRIVADO,A,No becado,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,18,F,4,00- Ninguno,0,1,Cesar,Valledupar,Colombia,Administración de Empresas,0.0,Estudiante regular,Ordinaria Pregrado,Normal,4.08,12,7,1,297.0,65.0,52.0,57.0,59.0,72.0,PRIVADO,A,No becado,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
0,18,M,4,00- Ninguno,0,1,Cesar,Valledupar,Colombia,Ingeniería Industrial,0.0,Nuevo ingreso,Ordinaria Pregrado,Desconocido,3.98,6,1,0,342.0,70.0,70.0,67.0,62.0,83.0,PRIVADO,A,No becado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
